instrumento	cuerda	f0_nominal_hz	f0_medido_hz	desvio_cents	calidad	usable
bajo-acustico	A1	55.00000	54.98713	-0.405	0.266	si
bajo-acustico	D2	73.41619	73.38362	-0.768	0.265	si
bajo-acustico	E1	41.20344	41.19772	-0.241	0.266	si
bajo-acustico	G2	97.99886	96.79065	-21.477	0.261	si
bajo-dedos	A1	55.00000	54.99138	-0.271	0.015	no
bajo-dedos	D2	73.41619	73.39197	-0.571	0.126	si
bajo-dedos	E1	41.20344	42.28835	44.995	0.000	no
bajo-dedos	G2	97.99886	97.85520	-2.540	0.159	si
bajo-fretless	A1	55.00000	54.94008	-1.887	0.038	si
bajo-fretless	D2	73.41619	73.52553	2.576	0.066	si
bajo-fretless	E1	41.20344	41.14939	-2.273	0.037	si
bajo-fretless	G2	97.99886	98.02296	0.426	0.044	si
bajo-pua	A1	55.00000	54.93960	-1.902	0.111	si
bajo-pua	D2	73.41619	73.31932	-2.286	0.140	si
bajo-pua	E1	41.20344	41.16216	-1.736	0.205	si
bajo-pua	G2	97.99886	97.94400	-0.969	0.021	si
guitarra-acero	A2	110.00000	110.26241	4.125	0.279	si
guitarra-acero	B3	246.94165	247.10672	1.157	0.236	si
guitarra-acero	D3	146.83238	146.76369	-0.810	0.128	si
guitarra-acero	E2	82.40689	82.30870	-2.064	0.009	no
guitarra-acero	E4	329.62756	329.78393	0.821	0.264	si
guitarra-acero	G3	195.99772	195.02404	-8.622	0.064	si
guitarra-jazz	A2	110.00000	110.05452	0.858	0.247	si
guitarra-jazz	B3	246.94165	247.02600	0.591	0.243	si
guitarra-jazz	D3	146.83238	146.83395	0.018	0.252	si
guitarra-jazz	E2	82.40689	82.48517	1.644	0.009	no
guitarra-jazz	E4	329.62756	330.18884	2.945	0.281	si
guitarra-jazz	G3	195.99772	195.77419	-1.975	0.288	si
guitarra-limpia	A2	110.00000	109.89073	-1.721	0.008	no
guitarra-limpia	B3	246.94165	246.93430	-0.052	0.022	si
guitarra-limpia	D3	146.83238	146.80878	-0.278	0.005	no
guitarra-limpia	E2	82.40689	82.38113	-0.541	0.021	si
guitarra-limpia	E4	329.62756	329.49964	-0.672	0.017	no
guitarra-limpia	G3	195.99772	195.76727	-2.037	0.044	si
guitarra-nylon	A2	110.00000	109.98664	-0.210	0.212	si
guitarra-nylon	B3	246.94165	247.48504	3.805	0.291	si
guitarra-nylon	D3	146.83238	146.94138	1.285	0.185	si
guitarra-nylon	E2	82.40689	82.20483	-4.250	0.009	no
guitarra-nylon	E4	329.62756	330.55887	4.884	0.325	si
guitarra-nylon	G3	195.99772	196.15713	1.408	0.024	si
ukelele	A4	440.00000	440.61663	2.425	0.274	si
ukelele	C4	261.62557	262.33639	4.697	0.313	si
ukelele	E4	329.62756	330.55887	4.884	0.325	si
ukelele	G4	391.99544	392.47164	2.102	0.319	si
